"sysid","name","gender","base_id","ref_id","bio","race","Species","source","advanced_voice_model","voice_accent","voice_model","fallout4_voice_folder","description","personality","likes","dislikes","profile","first_mes","mes_example","scenario","location","generated_bio","bio_url","creator","priority","author"
3104,"Blake Abernathy","Male","06B4D3","06D3A2","Blake Abernathy is a man living and farming at Abernathy farm in 2287.
Blake Abernathy works at Abernathy farm with his wife, Connie, his daughter, Lucy, a cat called Maisie, and a brahmin named Clarabell. Blake tells the Sole Survivor about a second daughter, Mary, who died at the hands of raiders and is buried behind their house. Talking to him initiates the quest Returning the Favor, sending the Sole Survivor to USAF Satellite Station Olivia to retrieve Mary's locket.
An unused voice type for Blake exists in the game's files, ""NPCMBlakeAbernathy,"" though the NPC actually uses the ""MaleBoston"" voice type.","Human","Human","Fallout4","MaleBoston","en","MaleBoston","MaleBoston",,,,,,,,,,,"https://fallout.fandom.com/wiki/Blake_Abernathy","Bethesda",,"YetAnotherModder"
3105,"Connie Abernathy","Female","06B4D1","06D3A3","Connie Abernathy is a merchant living at Abernathy farm in 2287.
Connie is a tough, yet mostly friendly merchant who is married to Blake. She is often seen farming, but occasionally can be seen walking around. She is the mother to Lucy Abernathy, and to the recently-deceased Mary Abernathy.","Human","Human","Fallout4","FemaleBoston","en","FemaleBoston","FemaleBoston",,,,,,,,,,,"https://fallout.fandom.com/wiki/Connie_Abernathy","Bethesda",,"YetAnotherModder"
3106,"Lucy Abernathy","Female","06B4D2","06D3A4","Lucy Abernathy is a young woman living at Abernathy farm in 2287.
Lucy is the daughter of Connie and Blake Abernathy, and can be found working with her family at the Abernathy farm. She has a deceased sister, Mary, who was killed by raiders.
She offers to purchase melons from the player character for three caps; passing a Charisma check brings that amount up to five caps.","Human","Human","Fallout4","FemaleEvenTonedBoston","en","FemaleEvenToned","FemaleEvenToned",,,,,,,,,,,"https://fallout.fandom.com/wiki/Lucy_Abernathy","Bethesda",,"YetAnotherModder"
3107,"Maisie","Female","107AE9","107AEC","Maisie is a house cat found at Abernathy farm in 2287.
Maisie is one of a handful of living cats found in the post-War Commonwealth. She belongs to the Abernathy family and tends to remain on the front porch of their farmhouse near her food bowl. Lucy Abernathy will sometimes be heard conversing with Maisie, playfully telling the cat off for wanting to be brushed or wanting more food; Maisie simply meows in response.","Cat, House cat","Feline","Fallout4","femaleghoul","en","femaleghoul","crcat",,,,,,,,,,,"https://fallout.fandom.com/wiki/Maisie","Bethesda",,"YetAnotherModder"
3108,"Clarabell","Female","107AE9","107AEC","Clarabell is a brahmin found on the Abernathy farm in 2287.
Clarabell is a brahmin found close to the main structure of the Abernathy farm, in a pen. She will wander around the area, back and forth in between the fencing to her feed trough.","Bovine, Brahmin","Bovine","Fallout4","femaleboston","en","femaleboston","CrBrahminVoice",,,,,,,,,,,"https://fallout.fandom.com/wiki/Clarabell_(Fallout_4)","Bethesda",,"YetAnotherModder"
3109,"Chancer","Female","0AE145","09C784","Chancer is a raider living in the Commonwealth in 2287.
Chancer is the leader of the raider gang holed up inside Andrew station.
Chancer, as with most other raiders, is hostile upon detecting the Sole Survivor and will attack immediately. However, Chancer can be pacified via the Intimidation perk.","Human","Human","Fallout4","FemaleRaider01","en","FemaleRaider01","RaiderFemale01",,,,,,,,,,,"https://fallout.fandom.com/wiki/Chancer","Bethesda",,"YetAnotherModder"
3110,"Eddie Winter","Male","0969C6","14BF24","Edward L. ""Eddie"" Winter is a pre-War mob boss turned ghoul living in Boston in 2287.
Eddie Winter was a notorious criminal and leader of an Irish crime family operating in Boston before the Great War. The Boston Bugle reported that he owned a sub shop in South Boston. He ordered the assassinations of Ron Trevio and Johnny Montrano, Jr. and participated in several robberies. He was also a business partner with the Flynn Brothers and was involved in operations with their trucking company, Wicked Shipping.
In 2077, the Boston Police Department created a task force code-named ""Operation Winter's End"" to secretly investigate Winter, led by Captain Jonathan Widmark. During this investigation, the extent of Winter's crimes was revealed: he was involved in almost every type of crime that could be committed, ranging from petty larceny to first-degree murder. It was suspected, though not proven, that Winter was behind the murder of the fiancée of the lead detective, Ms. Jennifer Lands, in August 2077. Around October of that year, the Boston Police Department closed the case against Winter. This was done due to Winter's deal with the BADTFL to incriminate his associates. His cooperation with the district attorney granted him immunity from prosecution for his crimes.
To ensure he would survive the prospect of nuclear devastation, shortly before the Great War, Eddie Winter willingly became a ghoul through a radiation experiment to obtain eternal life; it's even postulated that this made him one of, if not the first subject of ghoulification in history. He then entered a secure bunker he'd secretly had built and remained there for the next 210 years.
In 2287, his choice of life as a criminal eventually caught up to him when the synth Nick Valentine, guided by the memories of his pre-war counterpart's grudge against the crime boss, figured out the code and broke into his secure vault under Andrew station with the Sole Survivor where he personally ended Winter's second reign of terror before it could begin.","Ghoul, (Pre-war) Human","Human","Fallout4","MaleRaider01","en","MaleRaider01","NPCMEddieWinter",,,,,,,,,,,"https://fallout.fandom.com/wiki/Eddie_Winter","Bethesda",,"YetAnotherModder"
3111,"Bluejay","Male","04863B","04863D","Bluejay is a member of the Atom Cats in the year 2287. 
Bluejay is a never ending source of gossip and a talented trader in charge of making all the transactions for the Atom Cats. He acts as the merchant of the group, selling wares to anyone allowed in the compound.","Human","Human","Fallout4","MaleEvenTonedBoston","en","MaleEvenToned","MaleEvenToned",,,,,,,,,,,"https://fallout.fandom.com/wiki/Bluejay","Bethesda",,"YetAnotherModder"
3112,"Duke","Male","11686A","04863C","Duke is a power armor-wearing member of the Atom Cats living in the Commonwealth in 2287.
Duke wanders the Commonwealth in his suit of power armor, searching for parts that the Atom Cats can use to build and maintain their power armor suits.  He can be found via a random encounter in various locations, scrounging for parts in destroyed cars and will provide the Sole Survivor with directions to the Atom Cats garage in their Pip-Boy. He is also seen acting as the gate guard at the Atom Cats garage.
Duke marks the location of Atom Cats garage on the player character's map if spoken to.","Human","Human","Fallout4","MaleEvenTonedBoston","en","MaleEvenToned","MaleEvenToned",,,,,,,,,,,"https://fallout.fandom.com/wiki/Duke_(Fallout_4)","Bethesda",,"YetAnotherModder"
3113,"Johnny D.","Male","1164F6","1164F8","Johnny D. is a member of the Atom Cats located at their garage in 2287.","Human","Human","Fallout4","MaleEvenTonedBoston","en","MaleEvenToned","MaleEvenToned",,,,,,,,,,,"https://fallout.fandom.com/wiki/Johnny_D.","Bethesda",,"YetAnotherModder"
