bio_url,bio,name,voice_model,skyrim_voice_folder,race,gender,species,refid_int,baseid_int,author,voice_model_score,form_id,form_id_back,ref_id,voice_type,voicetypefallout,editor_id,editorIDFallout
/wiki/Blake_Abernathy,"Blake Abernathy is a man living and farming at Abernathy farm in 2287.
Blake Abernathy works at Abernathy farm with his wife, Connie, his daughter, Lucy, a cat called Maisie, and a brahmin named Clarabell. Blake tells the Sole Survivor about a second daughter, Mary, who died at the hands of raiders and is buried behind their house.[1] Talking to him initiates the quest Returning the Favor, sending the Sole Survivor to USAF Satellite Station Olivia to retrieve Mary's locket.
An unused voice type for Blake exists in the game's files, ""NPCMBlakeAbernathy,"" though the NPC actually uses the ""MaleBoston"" voice type.",Blake Abernathy,MaleBoston,MaleBoston,Human,Male,,447394,439507,YetAnotherModder,100,0006B4D3,0006B4D3,0006D3A2,MaleBoston,MaleBoston,BlakeAbernathy,BlakeAbernathy
/wiki/Connie_Abernathy,"Connie Abernathy is a merchant living at Abernathy farm in 2287.
Connie is a tough, yet mostly friendly merchant who is married to Blake. She is often seen farming, but occasionally can be seen walking around. She is the mother to Lucy Abernathy, and to the recently-deceased Mary Abernathy.[1]",Connie Abernathy,FemaleBoston,FemaleBoston,Human,Female,,447395,439505,YetAnotherModder,100,0006B4D1,0006B4D1,0006D3A3,FemaleBoston,FemaleBoston,ConnieAbernathy,ConnieAbernathy
/wiki/Lucy_Abernathy,"Lucy Abernathy is a young woman living at Abernathy farm in 2287.
Lucy is the daughter of Connie and Blake Abernathy, and can be found working with her family at the Abernathy farm. She has a deceased sister, Mary, who was killed by raiders.[1]
She offers to purchase melons from the player character for three caps; passing a Charisma check brings that amount up to five caps.",Lucy Abernathy,FemaleEvenToned,FemaleEvenToned,Human,Female,,447396,439506,YetAnotherModder,100,0006B4D2,0006B4D2,0006D3A4,FemaleEvenToned,FemaleEvenToned,LucyAbernathy,LucyAbernathy
/wiki/Maisie,"Maisie is a house cat found at Abernathy farm in 2287.
Maisie is one of a handful of living cats found in the post-War Commonwealth. She belongs to the Abernathy family and tends to remain on the front porch of their farmhouse near her food bowl. Lucy Abernathy will sometimes be heard conversing with Maisie, playfully telling the cat off for wanting to be brushed or wanting more food; Maisie simply meows in response.[1]",Maisie,Cait,crcat,House cat,Female,,1080044,1080041,YetAnotherModder,44,00107AE9,00107AE9,00107AEC,,,FarmCatAbernathy,
/wiki/Clarabell_(Fallout_4),"Clarabell is a brahmin found on the Abernathy farm in 2287.
Clarabell is a brahmin found close to the main structure of the Abernathy farm, in a pen. She will wander around the area, back and forth in between the fencing to her feed trough.",Clarabell,Danse,,Brahmin,Female,,1080044,1080041,YetAnotherModder,50,00107AE9,00107AE9,00107AEC,,,EncBrahminClarabell,
/wiki/Chancer,"Chancer is a raider living in the Commonwealth in 2287.
Chancer is the leader of the raider gang holed up inside Andrew station.
Chancer, as with most other raiders, is hostile upon detecting the Sole Survivor and will attack immediately. However, Chancer can be pacified via the Intimidation perk.",Chancer,FemaleRaider01,RaiderFemale01,Human,Female,,640900,713029,YetAnotherModder,100,000AE145,000AE145,0009C784,RaiderFemale01,RaiderFemale01,DN003_LvlRaiderBoss,DN003_LvlRaiderBoss
/wiki/Eddie_Winter,"Edward L. ""Eddie"" Winter is a pre-War mob boss turned ghoul living in Boston in 2287.
Eddie Winter was a notorious criminal and leader of an Irish crime family operating in Boston before the Great War. The Boston Bugle reported that he owned a sub shop in South Boston. He ordered the assassinations of Ron Trevio and Johnny Montrano, Jr. and participated in several robberies.[1] He was also a business partner with the Flynn Brothers and was involved in operations with their trucking company, Wicked Shipping.[2]
In 2077, the Boston Police Department created a task force code-named ""Operation Winter's End"" to secretly investigate Winter, led by Captain Jonathan Widmark. During this investigation, the extent of Winter's crimes was revealed: he was involved in almost every type of crime that could be committed, ranging from petty larceny to first-degree murder. It was suspected, though not proven, that Winter was behind the murder of the fiancée of the lead detective, Ms. Jennifer Lands, in August 2077.[3] Around October of that year, the Boston Police Department closed the case against Winter. This was done due to Winter's deal with the BADTFL to incriminate his associates. His cooperation with the district attorney granted him immunity from prosecution for his crimes.[4]
To ensure he would survive the prospect of nuclear devastation, shortly before the Great War, Eddie Winter willingly became a ghoul through a radiation experiment to obtain eternal life[5]; it's even postulated that this made him one of, if not the first subject of ghoulification in history. He then entered a secure bunker he'd secretly had built and remained there for the next 210 years.
In 2287, his choice of life as a criminal eventually caught up to him when the synth Nick Valentine, guided by the memories of his pre-war counterpart's grudge against the crime boss, figured out the code and broke into his secure vault under Andrew station with the Sole Survivor where he personally ended Winter's second reign of terror before it could begin.[6]",Eddie Winter,MaleRaider01,NPCMEddieWinter,Human(pre-War)Ghoul,Male,,1359652,616902,YetAnotherModder,42,000969C6,000969C6,0014BF24,NPCMEddieWinter,NPCMEddieWinter,EddieWinter,EddieWinter
/wiki/Bluejay,"Bluejay is a member of the Atom Cats in the year 2287. 
Bluejay is a never ending source of gossip and a talented trader in charge of making all the transactions for the Atom Cats. He acts as the merchant of the group, selling wares to anyone allowed in the compound.",Bluejay,MaleEvenToned,MaleEvenToned,Human,Male,,296509,296507,YetAnotherModder,100,0004863B,0004863B,0004863D,MaleEvenToned,MaleEvenToned,DN054AtomCat_Bluejay,DN054AtomCat_Bluejay
/wiki/Duke_(Fallout_4),"Duke is a power armor-wearing member of the Atom Cats living in the Commonwealth in 2287.
Duke wanders the Commonwealth in his suit of power armor, searching for parts that the Atom Cats can use to build and maintain their power armor suits.  He can be found via a random encounter in various locations, scrounging for parts in destroyed cars and will provide the Sole Survivor with directions to the Atom Cats garage in their Pip-Boy. He is also seen acting as the gate guard at the Atom Cats garage.
Duke marks the location of Atom Cats garage on the player character's map if spoken to.",Duke,MaleEvenToned,MaleEvenToned,Human,Male,,296508,1140842,YetAnotherModder,100,0011686A,0011686A,0004863C,MaleEvenToned,MaleEvenToned,DN054AtomCatPowerArmor_Duke,DN054AtomCatPowerArmor_Duke
/wiki/Johnny_D.,Johnny D. is a member of the Atom Cats located at their garage in 2287.,Johnny D.,MaleEvenToned,MaleEvenToned,Human,Male,,1139960,1139958,YetAnotherModder,100,001164F6,001164F6,001164F8,MaleEvenToned,MaleEvenToned,DN054AtomCatPowerArmor_JohnnyD,DN054AtomCatPowerArmor_JohnnyD
