bio_url,bio,name,voice_model,skyrim_voice_folder,race,gender,species,refid_int,baseid_int
/wiki/Abelone,Abelone is a Nord citizen in Skyrim who works at the Windpeak Inn as a maid in the city of Dawnstar.,Abelone,Female Commoner,FemaleCommoner,Nord,Female,,554832,554831
/wiki/Acolyte_Jenssen,"Acolyte Jenssen is a Nord priest residing at the Temple of Kynareth in Whiterun. He is typically found in or around the temple all day. He is typically found standing over the bed of the Sickly Farmer performing healing spells, hammering the walls of the temple, or standing idly within it.
If Jenssen is stolen from, he may send Hired Thugs after the Dragonborn to teach them a lesson.
The Dragonborn may need to rescue him from Serpent's Bluff Redoubt for the Companions.
Jenssen is a possible target that must be intimidated by initiating a brawl.",Acolyte Jenssen,Male Nord,MaleNord,Nord,Male,,867962,867961
/wiki/Adara,"Adara is a Redguard child residing at Endon's House in Markarth. She is the daughter of Endon and Kerah and the sister of Cade,[1] and is typically found within her house, with her mother at the market, or following her father around the city during the day.
Adara says she wants to be a silversmith like her father one day. She looks up to her father and follows him around most of the day.
Adara does not have any friends to play with, and due to this does not have much to do during the day. This prompts her to work with her parents at their stall. She practices making jewelry, and, according to dialogue, is quite good at it for an apprentice. Her parents are very proud of her ability.
Kerah: ""What am I supposed to do? Never leave the house? You want that, Endon?"" Kerah: ""You want to give up now? Out of fear? Is that what we're teaching our daughter?"" Adara: ""Mama, why are you and papa fighting?"" Endon: ""We're not fighting, we're just...Why don't I get you something to eat? Mama and papa will talk later.""",Adara,Female Child,FemaleChild,Redguard,Female,,127750,78725
/wiki/Addvar,"Addvar is a Nord fisherman and stall vendor in Skyrim who resides at his house in Solitude. During the day, he is typically found selling items at his market stall, promoting his fish and other meats.
Not much is known of Addvar's past, apart from dialogue that includes his mentioning to Sorex Vinius that he is not originally from Skyrim. He is also the only known merchant to sell the woodcutter's axe, which is used to chop firewood. Svari is his daughter and Greta is presumably his wife.
The Dragonborn may receive a letter from Addvar asking for ""assistance"" after assaulting Taarie, who owns the Radiant Raiment clothier in Solitude. The Dragonborn may also receive a different letter from Addvar after assaulting Captain Aldis or a Penitus Oculatus Agent.
Where do you catch the fish? ""Down at the docks. There are a few good spots, if you can avoid all the East Empire Company workers and those Red Wave thugs.""
You and your daughter were at the execution. ""Svari, yes. It's been hard on her. The girl misses her uncle. I've tried to explain that Roggvir did something bad and that we all have to be accountable for our actions but... a child feels what she will.""",Addvar,Male Commoner Accented,MaleCommonerAccented,Nord,Male,,104660,78421
/wiki/Addvild,"Addvild is a Nord farmer in Skyrim who resides at the Snow-Shod Farm with his wife, Leonara Arius. He will buy leeks, potatoes, and wheat from the Dragonborn.
Addvild: ""It brings me joy to hear that, but what possessed you to say that so suddenly?"" Leonara: ""I've already lost a family, and we're about to start a new one. I don't want that to happen again."" Addvild: ""My sweet Leanora (Leonara), I will never let anything happen to us. I promise.""
Leonara: ""I'm not so sure the few guards they've assigned to the farm are enough."" Addvild: ""It will have to do. Besides, if it came to blows, I'm sure the Snow-Shod's (Snow-Shods) would come out here and assist us."" Addvild: ""Just worry about keeping the fields tended and let the Jarl worry about the war.""",Addvild,Male Commoner Accented,MaleCommonerAccented,Nord,Male,,105985,105927
/wiki/Adeber,"Adeber is a Breton miner who both works and resides at the Left Hand Mine, near the city of Markarth.
Adeber primarily mines from iron ore veins. He is employed by Skaggi Scar-Face.",Adeber,Male Commoner,MaleCommoner,Breton,Male,,418222,418221
/wiki/Adelaisa_Vendicci,"Adelaisa Vendicci is an Imperial member of the East Empire Company. During and after completion of the quest ""Rise in the East,"" Vendicci can be found inside the East Empire Company office near the docks outside Windhelm. She is eligible as a follower, house steward, or Blades recruit.
Adelaisa appears after the Dragonborn finds out about the Blood Horker pirate group. The Dragonborn accompanies Adelaisa to the pirate island of Japhet's Folly, where she asks them to defeat the leader of the Blood Horkers, Haldyn. After Haldyn is killed, she will be waiting at the coastline for the Dragonborn to sail back to Windhelm.
After ""Rise in the East"" is complete, she will be available as a follower. Despite her well-armored appearance and involvement with taking down large pirate groups, she is classed as a citizen (with her primary stats being in Alchemy, Enchanting, and Smithing), and is thus one of the three weakest followers in the game, along with Sven, and Roggi Knot-Beard. She is also available to become a stewardess in the Hearthfire add-on.
I know where the Blood Horkers are. ""Finally, someone around here that can get things done. Since we're short on soldiers you'll be coming with us, too. No arguments. Anything else you want to say?""",Adelaisa Vendicci,Female Commander,FemaleCommander,Imperial,Female,,110910,82205
/wiki/Adisla,"Adisla is a Nord farmer in Skyrim who resides at Hlaalu Farm, east of Windhelm.
She is employed by a Dunmer by the name of Belyn Hlaalu, and can buy wheat collected by the Dragonborn. While her master never actually harms her, he often treats her with disrespect. Occasionally, the two will converse about various topics, one being Captain Lonely-Gale. She will say to Belyn that the captain is ""Just a guard captain. And not a very good one, at that"".
Belyn: ""Make sure the back fence is repaired. I swear I saw some skeevers in nibbling the leaves yesterday."" Adisla: ""Oh, no skeevers out here, sir. They can't stand the cold."" Belyn: ""Maybe, but the way you burn through all that wood to keep the cabin toasty, they might mistake this place for Elsweyr."" Adisla: ""Sorry, sir. These old bones do like a bit of warmth in the evening. There's no need to make fun."" Belyn: ""You just need to remember that there's a war on, and firewood isn't cheap these days.""
Adisla: ""I was wondering if you had ordered the shipment of that frostwheat, sir."" Belyn: ""Yes, but that fool Endario can't get it in. I'll thrash him when I get back to the city, don't you worry."" Adisla: ""I wasn't wanting to get anyone in trouble, sir. Just wanting to get the new planting started, is all.""",Adisla,Female Commoner,FemaleCommoner,Nord,Female,,170352,82206
/wiki/Adonato_Leotelli,"Adonato Leotelli is an Imperial author residing at Candlehearth Hall in Windhelm.
Adonato is renowned for his works of historical fiction, most notably Olaf and the Dragon. He also wrote the book Ghosts in the Storm, which is based on his trip to Skyrim with Ri'saad's Khajiit caravan.
Adonato requests his book be delivered to Giraud Gemane at the Bards College.",Adonato Leotelli,Male Condescending,MaleCondescending,Imperial,Male,,110873,82236
/wiki/Adrianne_Avenicci,"Adrianne Avenicci is an Imperial blacksmith who owns and operates Warmaiden's in Whiterun. She is the wife and business partner of Ulfberth War-Bear.
She is the daughter of Jarl Balgruuf's steward, Proventus Avenicci. She named her store, Warmaiden's, after her childhood nickname. Her father called her this due to her obsession with swords as a young girl. She is married to Ulfberth War-Bear. While she does not claim to be the best blacksmith in Whiterun, she aspires to be as good as Eorlund Gray-Mane one day.
Through dialogue with Adrianne and Hrongar, it is revealed that she helps her father with his counselling for Jarl Balgruuf, and that she aids her father ""in more ways than people realize.""
Adrianne sells various enchanted and un-enchanted weapons and armor, along with standard smithing materials, improved weapons, armor, and metal at higher levels. She starts working early in the morning, and because of this, is available to trade from as early as around 6:00 AM. She will take a two-hour lunch break inside the shop at 12 PM before returning to work. Unlike most other blacksmiths, who keep working until their shops close around 8 PM, Adrianne will lay down her work around 6 PM and will head inside Warmaiden's. There, she spends the last two hours of each day selling her wares behind the counter with her husband before closing the shop at 8 PM.
Adrianne, like any blacksmith, offers a short tutorial of the Smithing skill. During this quest she gives the Dragonborn free materials to craft items, and the finished item can be kept afterwards. After this quest has been completed, it becomes unavailable with any other blacksmith.
Adrianne asks the Dragonborn to deliver Balgruuf's Greatsword to her father. Supposedly, she does this expecting the attention of the Jarl.",Adrianne Avenicci,Female Commander,FemaleCommander,Imperial,Female,,108156,80825
/wiki/Aduri_Sarethi,"Aduri Sarethi is a Dunmer farmer in Skyrim who lives at the Sarethi Farm with her sister, Avrusa.
She helps her sister, Avrusa Sarethi, grow crops. She often complains about her boring job. Speaking to Avrusa reveals that Aduri is fond of wandering around the forest for hours at a time, and indeed she can be observed doing so around the vicinity of the farm.
She can also be heard in dialogue with her sister, revealing her wish to train as a painter. Avrusa replies that painting will not ""put food on the table,"" while farming will.
Aduri: ""Because it's boring. The fields are going to do fine... you don't have to dote over them so much."" Avrusa: ""Boring? That food is paying for everything. If we lose even a single crop, we could starve or be forced to beg. I won't have it!"" Aduri: ""All right, I understand. I'll do it tomorrow, okay? Just get off my back.""",Aduri Sarethi,Female Young Eager,FemaleYoungEager,Dark Elf,Female,,106002,105471
/wiki/Adventurer_(Skyrim),"Adventurers are randomly encountered radiant characters.
They can be found on roads or inns, depending on the actual type of adventurer. There are two types of adventurers found in Skyrim, both types are referred to simply by their race, and both types also carry potions and wear random armor, and this is what distinguishes them from other characters who are encountered.
Taunting Adventurers can be Redguard, an Orc, or Nord. When spoken to, they'll taunt the Dragonborn. Depending on the level of the Speech skill, they can be intimidated or persuaded. Failing these will turn them hostile, and succeeding will cause them to walk away.
Aggressive Adventurers, unlike the taunting ones, can be any race. They are automatically hostile when encountered, and are more unpredictable than their taunting counterparts.
Dead Adventurers are usually encountered inside dungeons, occasionally near a useful object or carrying something of importance upon their person. Sometimes notes or journals can be found with them that provide clues.",Adventurer,Male Commoner,MaleCommoner,,Male,,351215,351143
/wiki/Aela_the_Huntress_(Skyrim),"Aela the Huntress is a Nord werewolf, thief and member of The Companions. She is one of five members of The Circle. Residing in Jorrvaskr with the other Companions, Aela offers lycanthropy deep into the faction's questline. Additionally, she is an expert level Archery trainer, as well as a candidate for marriage and a follower after The Companions' main questline.
It is rumored among the Companions that she and Skjor have a very intimate relationship with one another; Njada Stonearm's conversations with Aela reveals this. However, Aela hastily and vehemently denies the relationship, to the point of even threatening Njada if she pays attention to them.[1]
Other ambient dialogue between her and Skjor reveals that the two go out at night to hunt in beast form.[2] This is discouraged among the Companions and is the source of their secrecy as well as the rumors about them. She is furious upon finding Skjor's body when the Dragonborn attacks the Silver Hand in Gallows Rock and seeks to avenge his death. It is never confirmed that she and Skjor were romantically involved. 
It is possible to encounter Aela before knowledge of The Companions is acquired. She may be found fighting a giant at Pelagia Farm on the outskirts of Whiterun, along with Ria and Farkas, usually if approaching from the Honningbrew Meadery after leaving Riverwood. She approves or disapproves of the action taken by the Dragonborn in helping to kill the giant, depending on the amount of assistance given in defeating it; only one successful strike on the giant is needed to gain her favor. Regardless, she suggests visiting Jorrvaskr and speaking to Kodlak Whitemane about joining The Companions.[3]
After the Dragonborn becomes a full member of The Companions, Aela offers Archery training for a fee. She is an Expert trainer and can train up to Archery level 75. She will still offer training if married.
In order to complete The Companions quest line, the Dragonborn must be initiated into The Circle by becoming a Werewolf. Aela willingly donates blood while in her Beast Form, which must be drunk. During the transformation, the Dragonborn has a few minutes to run around Whiterun. Both guards and civilians will be hostile, but there are no consequences for attacking anyone, though it would be wise to not kill anyone if they are needed for quests or other activities. After the transformation, the Dragonborn awakens outside of Whiterun, with Aela standing over them.[4]
She offers her congratulations, noting how difficult the Dragonborn was to control upon them first becoming their Beast Form and divulges information about the Circle's rivalry with the Silver Hand, a fierce group of werewolf hunters. Together with Aela, a nearby Silver Hand encampment located at Gallows Rock is raided. The raid does not go as planned, however, as Skjor is slaughtered prior to the raid and found dead in the final chamber with the Silver Hand's commander, Krev the Skinner. Aela vows to slay whoever killed him. From that point, the Dragonborn can receive special assignments from Aela, who sends them on a series of quests intended to stifle the dramatically escalating feud.[4]
After the Silver Hand assassinates Kodlak Whitemane in an ambush on Jorrvaskr that results in them also stealing the pieces of Wuuthrad, the Companions agree that the Silver Hand must be eradicated, with Vilkas and the Dragonborn traveling to Driftshade Refuge to eliminate the Silver Hand completely and recover the shards of Wuuthrad. In an effort to cleanse Kodlak's spirit of the beast curse following his funeral at the Skyforge, Aela accompanies Vilkas, Farkas, and the Dragonborn to Ysgramor's Tomb, where she helps redeem Kodlak's spirit. A promotion to Harbinger is given to the Dragonborn after the completion of this quest.[5]
In Dawnguard, Aela is able to give lycanthropy again, if the Dragonborn decides to cure it in favor of vampirism. Points expended toward the Werewolf skill tree cannot be undone or moved to other skill trees, which includes the Vampire Lord skill tree. She will only do this once, however.
After destroying the Silver Hand, she becomes a follower and a candidate for marriage while wearing an Amulet of Mara in her presence. She then offers the repeatable ""Animal Extermination"" missions, as well as the ability to collect the mythic Totems of Hircine, but only if the player character is still a Werewolf and had not cured themselves during ""Glory of the Dead"" or ""Purity"" when helping cure Vilkas or Farkas of their own lycanthropy.
After escorting Delphine and Esbern to Sky Haven Temple, Aela can be recruited into the Blades. Along with two others, she roots out and fights dragons. After becoming a Blade, Aela's default armor changes to Blades Armor and her residence shifts from Jorrvaskr to Sky Haven Temple.[6]
As a follower, Aela tolerates stealing and murdering innocents. When trespassing, she says that the Dragonborn ""should not be in here,"" but otherwise does not turn hostile.
Aela is a specialist and highly skilled in Archery. Her primary skills are Light Armor and Sneak. Her secondary skills are One-Handed and Speech. It should be noted that she is not good with a shield, and will rarely use one if it is in her inventory.
Aela will accept and equip any melee weapon and shield that is better than her default equipment. She is most skilled with bows and one-handed weapons. Aela can use staves and may pick them up from corpses. At higher levels, she replaces her Hunting Bow with an Imperial Bow.
Aela's default armor is Ancient Nord Armor. If married, a copy can be purchased from her shop. Aela will equip any armor better than her default set. Just like other followers, Aela will consider armor as ""better"" if its base value is higher. Also like other followers, Aela will not equip upgraded versions of her default armor, regardless of statistics or enchantments.
Even though her default armor is Heavy Armor, she is unskilled in Heavy Armor usage and receives minimal protection from it. She is highly skilled in Light Armor, and benefits significantly from Light Armor.
Aela can be forced to wear clothes, although the process must be repeated every time a new area is entered. First, armor must be forced into her shop inventory by giving her a better suit. Proceed to buy both sets of the Ancient Nord Armor, to finally replace the armor that was given to her at first by clothes.
When Aela is dismissed as a follower, she returns to Jorrvaskr by default. If she has been asked to move into a home through marriage, she returns there instead. If she has been recruited for The Blades, she returns to Sky Haven Temple. When Aela has returned to her home, she unequips any weapon and armor she has received, keeping them in her inventory instead. Her inventory must be altered to re-equip the items.",Aela the Huntress,Female Commander,FemaleCommander,Nord,Female,,108183,108182
